X,Y,OBJECTID,事務所名,路線名,管理番号,照明灯種別,設置位置,緯度,経度,X座標,Y座標
138.1213333,35.09094444,61,島田土木事務所,（国）３６２号,G362-7-13-4,高圧ナトリウム灯,川根本町崎平,35.09094444,138.1213333,-34526.13006,-100784.5896
138.1210278,35.09080556,62,島田土木事務所,（国）３６２号,G362-7-13-5,高圧ナトリウム灯,川根本町崎平,35.09080556,138.1210278,-34554.04826,-100799.89
138.0875278,35.0484166700001,63,島田土木事務所,（国）３６２号,G362-3,高圧ナトリウム灯,川根本町上長尾,35.04841667,138.0875278,-37627.98964,-105490.0354
138.0891111,35.0500277800001,64,島田土木事務所,（国）３６２号,G362-3-0,高圧ナトリウム灯,川根本町上長尾,35.05002778,138.0891111,-37482.81264,-105311.9088
138.0898889,35.05133333,65,島田土木事務所,（国）３６２号,G362-3-0-1,高圧ナトリウム灯,川根本町上長尾地内,35.05133333,138.0898889,-37411.26489,-105167.3743
138.0898611,35.0605,66,島田土木事務所,（国）３６２号,G362-3-0-2,高圧ナトリウム灯,川根本町上長尾地内,35.0605,138.0898611,-37409.61808,-104150.4916
138.1141111,34.8579722200001,67,島田土木事務所,（国）４７３号,G473-33,高圧ナトリウム灯,島田市横岡地内,34.85797222,138.1141111,-35284.41523,-126625.6451
138.1353056,34.8086944400001,68,島田土木事務所,（国）４７３号,G473-1,高圧ナトリウム灯,島田市猪土居　農林省茶業試験場の入口,34.80869444,138.1353056,-33366.32868,-132099.1474
138.1354167,34.80961111,69,島田土木事務所,（国）４７３号,G473-1-1,高圧ナトリウム灯,島田市猪土居,34.80961111,138.1354167,-33355.79369,-131997.501
138.1350833,34.80641667,70,島田土木事務所,（国）４７３号,G473-1-2,高圧ナトリウム灯,島田市金谷,34.80641667,138.1350833,-33387.57946,-132351.7391
138.1354167,34.81116667,71,島田土木事務所,（国）４７３号,G473-1-3,高圧ナトリウム灯,島田市金谷,34.81116667,138.1354167,-33355.16688,-131824.9478
138.1350833,34.8042777800001,72,島田土木事務所,（国）４７３号,G473-1-4,高圧ナトリウム灯,島田市金谷,34.80427778,138.1350833,-33388.442,-132588.9991
138.1362222,34.81316667,73,島田土木事務所,（国）４７３号,G473-1-5,高圧ナトリウム灯,島田市金谷,34.81316667,138.1362222,-33280.66385,-131603.3615
138.1351667,34.8033055600001,74,島田土木事務所,（国）４７３号,G473-1-5-1,高圧ナトリウム灯,島田市猪土居,34.80330556,138.1351667,-33381.20863,-132696.872
138.1355,34.8032222200001,75,島田土木事務所,（国）４７３号,G473-1-5-2,高圧ナトリウム灯,島田市猪土居,34.80322222,138.1355,-33350.74331,-132706.2274
138.1375556,34.81205556,76,島田土木事務所,（国）４７３号,G473-1-6,高圧ナトリウム灯,島田市切山,34.81205556,138.1375556,-33159.12613,-131727.0548
138.1351667,34.8045833300001,77,島田土木事務所,（国）４７３号,G473-1-7,高圧ナトリウム灯,島田市金谷,34.80458333,138.1351667,-33380.69349,-132555.1332
138.9368056,34.8295555600001,78,下田土木事務所,（国）４１４号,天城トンネル,その他,河津町梨本,34.82955556,138.9368056,39953.82872,-129758.7372
138.9349722,34.8271388900001,79,下田土木事務所,（国）４１４号,新天城トンネル,低圧ナトリウム灯,河津町梨本地内,34.82713889,138.9349722,39787.29757,-130027.5409
138.859,34.72975,80,下田土木事務所,（主）下田松崎線,婆娑羅トンネル,低圧ナトリウム灯,下田市加増野地内,34.72975,138.859,32876.62584,-140858.0189
138.8885556,34.62777778,81,下田土木事務所,（主）下田石廊松崎線,弥陀山トンネル,低圧ナトリウム灯,南伊豆町手石地内,34.62777778,138.8885556,35626.93475,-152159.1786
138.8438611,34.6115555600001,82,下田土木事務所,（主）下田石廊松崎線,石室トンネル,低圧ナトリウム灯,南伊豆町石廊崎,34.61155556,138.8438611,31534.98563,-153973.4842
138.8269167,34.61083333,83,下田土木事務所,（主）下田石廊松崎線,塚城トンネル,低圧ナトリウム灯,南伊豆町仲木,34.61083333,138.8269167,29981.28995,-154058.763
138.8271944,34.6156388900001,84,下田土木事務所,（主）下田石廊松崎線,小城トンネル,低圧ナトリウム灯,南伊豆町入間地内,34.61563889,138.8271944,30005.035,-153525.633
138.8249444,34.618,85,下田土木事務所,（主）下田石廊松崎線,仲木トンネル,低圧ナトリウム灯,南伊豆町仲木,34.618,138.8249444,29797.85643,-153264.3983
138.9256389,34.67997222,86,下田土木事務所,（県）下田南伊豆線,大賀茂トンネル,低圧ナトリウム灯,下田市大賀茂,34.67997222,138.9256389,39002.69625,-146355.8211
138.9174722,34.6821666700001,87,下田土木事務所,（県）下田南伊豆線,八声トンネル,低圧ナトリウム灯,下田市大賀茂,34.68216667,138.9174722,38253.34335,-146115.5353
139.0995833,35.04369444,88,熱海土木事務所,（国）１３５号,立岩トンネル,,熱海市網代地内,35.04369444,139.0995833,54700.62517,-105927.3074
138.6495833,35.15130556,89,富士土木事務所,（県）富士停車場線,加島地下道,低圧ナトリウム灯,富士市富士本町イトーヨーカドー前,35.15130556,138.6495833,13628.64693,-94143.97429
138.6140278,35.17780556,90,富士土木事務所,（主）富士川身延線,馬坂トンネル,,富士市木島,35.17780556,138.6140278,10385.78354,-91208.55171
138.3255278,34.88677778,91,島田土木事務所,（国）１５０号,F150B-石脇地下道,その他,焼津市石脇地内,34.88677778,138.3255278,-15947.57113,-123484.3507
139.0826111,34.9486111100001,92,熱海土木事務所,（主）伊東修善寺線,八代田トンネル,,伊東市鎌田八代田地内,34.94861111,139.0826111,53213.72768,-116484.2062
139.1190278,34.9725277800001,93,熱海土木事務所,（県）伊東川奈八幡野線,新井BOXカルバート,低圧ナトリウム灯,伊東市新井魚町,34.97252778,139.1190278,56523.52103,-113811.1248
139.1279722,34.9613888900001,94,熱海土木事務所,（県）伊東川奈八幡野線,汐吹トンネル,低圧ナトリウム灯,伊東市新井地内,34.96138889,139.1279722,57348.01227,-115041.6805
139.0804722,35.10094444,95,熱海土木事務所,（県）熱海停車場線,汐見トンネル,低圧ナトリウム灯,熱海市春日町,35.10094444,139.0804722,52920.10465,-99586.71728
